field_100013_f,isPotionDurationMax
field_110899_a,ironGolemTextures
field_110901_a,squidTextures
field_110903_f,villagerTextures
field_110904_g,farmerVillagerTextures
field_110905_l,smithVillagerTextures
field_110906_m,butcherVillagerTextures
field_110907_k,priestVillagerTextures
field_110908_h,librarianVillagerTextures
field_110910_a,witchTextures
field_110912_f,witherTextures
field_110913_a,invulnerableWitherTextures
field_110915_f,tamedWolfTextures
field_110916_g,anrgyWolfTextures
field_110917_a,wolfTextures
field_110920_a,chickenTextures
field_110922_T,locationLightMap
field_110923_r,locationSnowPng
field_110924_q,locationRainPng
field_110925_j,locationCloudsPng
field_110926_k,locationEndSkyPng
field_110927_h,locationMoonPhasesPng
field_110928_i,locationSunPng
field_110929_d,RES_UNDERWATER_OVERLAY
field_110931_c,RES_MAP_BACKGROUND
field_110973_g,frameCounter
field_110974_d,originY
field_110975_c,originX
field_110976_a,framesTextureData
field_110977_n,minV
field_110978_o,maxV
field_110979_l,minU
field_110980_m,maxU
field_110982_k,animationMetadata
field_110983_h,tickCounter
field_110984_i,iconName
field_110999_b,missingTextureData
field_111000_c,dataBuffer
field_111001_a,missingTexture
field_111053_a,numericVariablePattern
field_111105_a,potionEffectId
field_111106_b,horseVariant
field_111107_a,horseType
field_111113_b,defaultValue
field_111114_c,shouldWatch
field_111115_a,unlocalizedName
field_111118_b,maximumValue
field_111119_c,description
field_111120_a,minimumValue
field_111132_f,baseValue
field_111133_g,needsUpdate
field_111134_d,mapByName
field_111135_e,mapByUUID
field_111136_b,genericAttribute
field_111137_c,mapByOperation
field_111138_a,attributeMap
field_111139_h,cachedValue
field_111153_b,attributesByName
field_111154_a,attributes
field_111162_d,attributeInstanceSet
field_111163_c,descriptionToAttributeInstanceMap
field_111170_d,id
field_111171_e,isSaved
field_111172_b,operation
field_111173_c,name
field_111174_a,amount
field_111176_d,targetY
field_111177_e,targetZ
field_111178_b,speed
field_111179_c,targetX
field_111180_a,horseHost
field_111188_I,attributeModifierMap
field_111192_g,previousTotalWorldTime
field_111193_e,playerInstanceList
field_111198_g,previousWorldTime
field_111203_a,moonPhaseFactors
field_111204_q,inhabitedTime
field_111210_e,itemModifierUUID
field_111230_s,enchantmentTypes
field_111242_f,theHorse
field_111243_a,horseInventory
field_111263_d,movementSpeed
field_111264_e,attackDamage
field_111265_b,followRange
field_111266_c,knockbackResistance
field_111267_a,maxHealth
field_111273_g,locationFontTexture
field_111274_c,unicodePageLocations
field_111284_a,DECIMALFORMAT
field_120014_b,ticks
field_120015_a,server
field_120021_b,server
field_120037_e,server
field_130068_bO,combinedHealth
field_130070_K,fileResourcepacks
field_130074_a,joinerResourcePacks
field_130078_a,LOC_GRASS_PNG
field_130079_a,LOC_FOLIAGE_PNG
field_130222_e,rotated
field_130223_c,width
field_130224_d,height
field_135017_as,mcLanguageManager
field_135019_a,languages
field_135029_d,unicode
field_135030_b,splitter
field_135031_c,pattern
field_135032_a,properties
field_135036_d,bidirectional
field_135037_b,region
field_135038_c,name
field_135039_a,languageCode
field_135046_d,languageMap
field_135047_b,theMetadataSerializer
field_135048_c,currentLanguage
field_135049_a,currentLocale
field_135054_a,i18nLocale
field_135057_d,setResourceDomains
field_135065_b,equalSignSplitter
field_142016_bo,lastAttackerTime
field_142022_ce,clientBrand
field_142025_a,isRunningOnMac
field_142046_b,isVillager
field_142048_a,isChild
field_142052_b,revengeTimerOld
field_143005_bX,playerLastActiveTime
field_143008_E,maxPlayerIdleMinutes
field_143014_b,isDesertVillage
field_143023_d,chunkPosZ
field_143024_c,chunkPosX
field_143029_e,structureData
field_143037_d,componentClassToNameMap
field_143038_b,startClassToNameMap
field_143039_c,componentNameToClassMap
field_143040_a,startNameToClassMap
field_143044_a,tagCompound
field_145761_f,customName
field_145762_d,lastOutput
field_145763_e,commandStored
field_145764_b,successCount
field_145765_c,trackOutput
field_145766_a,timestampFormat
field_145783_c,entityId
field_145786_d,yTile
field_145787_e,zTile
field_145788_c,xTile
field_145789_f,zTile
field_145790_g,inTile
field_145791_d,xTile
field_145792_e,yTile
field_145793_f,yTile
field_145794_g,zTile
field_145795_e,xTile
field_145796_h,inTile
field_145801_f,thrower
field_145802_g,owner
field_145803_d,logger
field_145804_b,delayBeforeCanPickup
field_145808_f,canSetAsBlock
field_145809_g,hurtEntities
field_145810_d,tileEntityData
field_145812_b,fallTime
field_145813_c,shouldDropItem
field_145815_h,fallHurtMax
field_145816_i,fallHurtAmount
field_145823_b,activatorRailCooldown
field_145824_a,commandBlockLogic
field_145846_f,tileEntityInvalid
field_145847_g,blockMetadata
field_145850_b,worldObj
field_145852_a,logger
field_145853_j,classToNameMap
field_145854_h,blockType
field_145855_i,nameToClassMap
field_145858_a,record
field_145870_n,lastProgress
field_145872_l,shouldHeadBeRendered
field_145873_m,progress
field_145875_k,extending
field_145879_a,note
field_145880_i,previousRedstoneState
field_145882_a,spawnerLogic
field_145900_a,inventory
field_145901_j,transferCooldown
field_145902_i,customName
field_145908_a,skullType
field_145910_i,skullRotation
field_145915_a,signText
field_145916_j,isEditable
field_145917_k,player
field_145918_i,lineBeingEdited
field_145922_s,customName
field_145923_r,rand
field_145925_p,bookRotationPrev
field_145926_a,tickCount
field_145927_n,bookSpreadPrev
field_145928_o,bookRotation
field_145930_m,bookSpread
field_145931_j,pageFlipPrev
field_145933_i,pageFlip
field_145941_a,inputSlots
field_145942_n,customName
field_145943_l,filledSlots
field_145944_m,ingredientID
field_145945_j,brewingItemStacks
field_145946_k,brewTime
field_145947_i,outputSlots
field_145956_a,furnaceBurnTime
field_145957_n,furnaceItemStacks
field_145958_o,furnaceCustomName
field_145959_l,slotsBottom
field_145960_m,slotsSides
field_145962_k,slotsTop
field_145963_i,currentItemBurnTime
field_145967_a,flowerPotItem
field_145968_i,flowerPotData
field_145972_a,lidAngle
field_145973_j,numPlayersUsing
field_145974_k,ticksSinceSync
field_145975_i,prevLidAngle
field_145981_s,customName
field_145982_r,cachedChestType
field_145983_q,ticksSinceSync
field_145984_a,adjacentChestChecked
field_145985_p,chestContents
field_145986_n,prevLidAngle
field_145987_o,numPlayersUsing
field_145988_l,adjacentChestZPos
field_145989_m,lidAngle
field_145990_j,adjacentChestXPos
field_145991_k,adjacentChestXNeg
field_145992_i,adjacentChestZNeg
field_145994_a,commandBlockLogic
field_145997_a,outputSignal
field_146008_p,customName
field_146009_a,effectsList
field_146010_n,secondaryEffect
field_146011_o,payment
field_146012_l,levels
field_146013_m,primaryEffect
field_146015_k,isComplete
field_146016_i,beamRenderCounter
field_146020_a,customName
field_146022_i,stacks
field_146032_b,partName
field_146036_f,FISH
field_146037_g,xTile
field_146038_az,ticksCatchableDelay
field_146039_d,JUNK
field_146040_ay,ticksCaughtDelay
field_146041_e,TREASURE
field_146042_b,angler
field_146043_c,caughtEntity
field_146044_a,shake
field_146045_ax,ticksCatchable
field_146046_j,inTile
field_146047_aw,ticksInAir
field_146048_h,yTile
field_146049_av,ticksInGround
field_146050_i,zTile
field_146051_au,inGround
field_146052_aI,clientMotionY
field_146053_aJ,clientMotionZ
field_146054_aA,fishApproachAngle
field_146055_aB,fishPosRotationIncrements
field_146056_aC,fishX
field_146057_aD,fishY
field_146058_aE,fishZ
field_146059_aF,fishYaw
field_146060_aG,fishPitch
field_146061_aH,clientMotionX
field_146073_bw,zombieHeight
field_146074_bv,zombieWidth
field_146075_bs,breakDoor
field_146076_bu,isBreakDoorsTaskSet
field_146084_br,playerInLove
field_146087_bs,entityAIEatGrass
field_146106_i,gameProfile
field_146108_bO,statWriter
field_146109_a,mc
field_146120_f,width
field_146121_g,height
field_146122_a,buttonTextures
field_146123_n,hovered
field_146124_l,enabled
field_146125_m,visible
field_146126_j,displayString
field_146127_k,id
field_146128_h,xPosition
field_146129_i,yPosition
field_146133_q,options
field_146134_p,sliderValue
field_146135_o,dragging
field_146137_o,enumOptions
field_146164_r,fontRenderer
field_146170_l,centered
field_146171_m,labelBgEnabled
field_146172_j,visible
field_146209_f,xPosition
field_146210_g,yPosition
field_146211_a,fontRendererInstance
field_146212_n,canLoseFocus
field_146213_o,isFocused
field_146214_l,cursorCounter
field_146215_m,enableBackgroundDrawing
field_146216_j,text
field_146217_k,maxStringLength
field_146218_h,width
field_146219_i,height
field_146220_v,visible
field_146221_u,disabledColor
field_146222_t,enabledColor
field_146223_s,selectionEnd
field_146224_r,cursorPosition
field_146225_q,lineScrollOffset
field_146226_p,isEnabled
field_146247_f,mc
field_146248_g,sentMessages
field_146249_a,logger
field_146250_j,scrollPos
field_146251_k,isScrolled
field_146252_h,chatLines
field_146253_i,drawnChatLines
field_146259_f,mc
field_146260_g,width
field_146261_a,achievementBg
field_146262_n,permanentNotification
field_146263_l,notificationTime
field_146264_m,renderItem
field_146265_j,achievementDescription
field_146266_k,theAchievement
field_146267_h,height
field_146268_i,achievementTitle
field_146287_f,eventButton
field_146288_g,lastMouseEvent
field_146289_q,fontRendererObj
field_146290_a,selectedButton
field_146291_p,allowUserInput
field_146292_n,buttonList
field_146293_o,labelList
field_146294_l,width
field_146295_m,height
field_146296_j,itemRender
field_146297_k,mc
field_146298_h,touchValue
field_146304_f,message
field_146305_g,multilineMessage
field_146306_a,reason
field_146307_h,parentScreen
field_146308_f,serverIPField
field_146309_g,serverNameField
field_146310_a,parentScreen
field_146311_h,serverData
field_146320_D,btnMapType
field_146321_E,btnAllowCommands
field_146322_F,btnCustomizeType
field_146323_G,gameModeDesc1
field_146324_A,btnMoreOptions
field_146325_B,btnMapFeatures
field_146326_C,btnBonusItems
field_146327_L,disallowedFilenames
field_146328_H,gameModeDesc2
field_146329_I,worldSeed
field_146330_J,worldName
field_146331_K,selectedIndex
field_146332_f,parentScreen
field_146333_g,worldNameField
field_146334_a,chunkProviderSettingsJson
field_146335_h,worldSeedField
field_146336_i,saveDirName
field_146337_w,hardCoreMode
field_146338_v,bonusChestEnabled
field_146339_u,allowCheatsWasSetByUser
field_146340_t,allowCheats
field_146341_s,generateStructuresEnabled
field_146342_r,gameMode
field_146343_z,btnGameMode
field_146344_y,inMoreWorldOptionsDisplay
field_146345_x,alreadyGenerated
field_146347_a,enableButtonsTimer
field_146349_a,logger
field_146351_f,messageLine1
field_146352_g,confirmButtonText
field_146353_s,ticksUntilEnable
field_146354_r,messageLine2
field_146355_a,parentScreen
field_146356_h,cancelButtonText
field_146357_i,parentButtonClickedId
field_146360_u,showSecurityWarning
field_146361_t,linkText
field_146362_s,copyLinkButtonText
field_146363_r,openLinkWarning
field_146370_f,logger
field_146371_g,networkManager
field_146372_a,CONNECTION_ID
field_146373_h,cancel
field_146374_i,previousGuiScreen
field_146385_f,createWorldGui
field_146387_g,theFlatGeneratorInfo
field_146390_s,createFlatWorldListSlotGui
field_146393_h,flatWorldTitle
field_146396_g,parentScreen
field_146400_h,game_settings
field_146408_f,logger
field_146409_v,defaultInputFieldText
field_146410_g,historyBuffer
field_146412_t,foundPlayerNames
field_146413_s,autocompleteIndex
field_146414_r,waitingOnAutocomplete
field_146415_a,inputField
field_146416_h,sentHistoryCursor
field_146417_i,playerNamesFound
field_146431_f,FLAT_WORLD_PRESETS
field_146432_g,parentScreen
field_146438_h,presetsTitle
field_146439_i,presetsShare
field_146443_h,game_settings_1
field_146450_f,list
field_146451_g,game_settings_3
field_146452_r,confirmSettingsBtn
field_146453_a,parentScreen
field_146454_h,languageManager
field_146455_i,forceUnicodeFontBtn
field_146465_D,buttonSign
field_146466_f,bookGuiTextures
field_146467_E,buttonFinalize
field_146468_g,editingPlayer
field_146469_F,buttonCancel
field_146470_A,buttonNextPage
field_146471_B,buttonPreviousPage
field_146472_C,buttonDone
field_146473_a,logger
field_146474_h,bookObj
field_146475_i,bookIsUnsigned
field_146476_w,bookTotalPages
field_146477_v,bookImageHeight
field_146478_u,bookImageWidth
field_146479_t,updateCount
field_146480_s,bookGettingSigned
field_146481_r,bookIsModified
field_146482_z,bookTitle
field_146483_y,bookPages
field_146484_x,currPage
field_146485_f,commandTextField
field_146486_g,previousOutputTextField
field_146487_r,cancelBtn
field_146489_h,localCommandBlock
field_146490_i,doneBtn
field_146491_f,buttonId
field_146492_g,optionsArr
field_146493_s,buttonReset
field_146494_r,keyBindingList
field_146495_a,screenTitle
field_146496_h,parentScreen
field_146497_i,options
field_146498_f,parentGuiScreen
field_146499_g,guiGameSettings
field_146500_a,screenTitle
field_146501_h,optionsRowList
field_146502_i,videoOptions
field_146506_g,game_settings_4
field_146510_b_,lanSearchStates
field_146542_f,screenTitle
field_146543_v,doesGuiPauseGame
field_146545_u,displaySlot
field_146547_s,mobStats
field_146548_r,blockStats
field_146549_a,parentScreen
field_146550_h,generalStats
field_146551_i,itemStats
field_146556_E,statFileWriter
field_146558_F,loadingAchievements
field_146561_C,ACHIEVEMENT_BACKGROUND
field_146562_a,parentScreen
field_146576_f,MINECRAFT_LOGO
field_146577_g,VIGNETTE_TEXTURE
field_146580_a,logger
field_146584_g,saveName
field_146585_a,parentScreen
field_146587_f,scaledResolution
field_146588_g,framebuffer
field_146590_g,progress
field_146592_h,doneWorking
field_146593_f,progress
field_146594_a,netHandlerPlayClient
field_146603_f,game_settings_2
field_146628_f,screenTitle
field_146629_g,logger
field_146630_A,renameButton
field_146631_B,recreateButton
field_146632_a,parentScreen
field_146638_t,availableWorlds
field_146640_r,selectedIndex
field_146641_z,selectButton
field_146642_y,deleteButton
field_146643_x,confirmingDelete
field_146797_f,oldServerPinger
field_146798_g,parentScreen
field_146799_A,lanServerList
field_146800_B,lanServerDetector
field_146801_C,initialized
field_146802_a,logger
field_146803_h,serverListSelector
field_146804_i,savedServerList
field_146805_w,editingServer
field_146806_v,addingServer
field_146807_u,deletingServer
field_146808_t,btnDeleteServer
field_146809_s,btnSelectServer
field_146810_r,btnEditServer
field_146811_z,selectedServer
field_146812_y,hoveringText
field_146813_x,directConnect
field_146848_f,tileSign
field_146849_g,updateCounter
field_146851_h,editLine
field_146852_i,doneBtn
field_146965_f,parentScreen
field_146966_g,availableResourcePacks
field_146967_r,selectedResourcePacksList
field_146968_a,logger
field_146969_h,selectedResourcePacks
field_146970_i,availableResourcePacksList
field_146972_A,openGLWarning2
field_146974_g,logger
field_146985_D,currentDragTargetSlot
field_146986_E,dragItemDropDelay
field_146987_F,dragSplittingLimit
field_146988_G,dragSplittingButton
field_146989_A,returningStackDestSlot
field_146990_B,returningStackTime
field_146991_C,returningStack
field_146992_L,lastClickButton
field_146993_M,doubleClick
field_146994_N,shiftClickedSlot
field_146995_H,ignoreMouseUp
field_146996_I,dragSplittingRemnant
field_146997_J,lastClickTime
field_146998_K,lastClickSlot
field_146999_f,xSize
field_147000_g,ySize
field_147001_a,inventoryBackground
field_147002_h,inventorySlots
field_147003_i,guiLeft
field_147004_w,isRightMouseClick
field_147005_v,clickedSlot
field_147006_u,theSlot
field_147007_t,dragSplitting
field_147008_s,dragSplittingSlots
field_147009_r,guiTop
field_147010_z,touchUpY
field_147011_y,touchUpX
field_147012_x,draggedStack
field_147013_v,tileBrewingStand
field_147014_u,brewingStandGuiTextures
field_147015_w,lowerChestInventory
field_147016_v,upperChestInventory
field_147017_u,CHEST_GUI_TEXTURE
field_147018_x,inventoryRows
field_147019_u,craftingTableGuiTextures
field_147024_w,tileBeacon
field_147025_v,beaconGuiTextures
field_147026_u,logger
field_147027_y,buttonsNotDrawn
field_147028_x,beaconConfirmButton
field_147029_w,horseInventory
field_147030_v,playerInventory
field_147031_u,horseGuiTextures
field_147032_z,mousePosY
field_147033_y,mousePosx
field_147034_x,horseEntity
field_147037_w,merchant
field_147038_v,MERCHANT_GUI_TEXTURE
field_147039_u,logger
field_147040_A,chatComponent
field_147041_z,selectedMerchantRecipe
field_147042_y,previousButton
field_147043_x,nextButton
field_147045_u,hasActivePotionEffects
field_147047_v,oldMouseY
field_147048_u,oldMouseX
field_147058_w,selectedTabIndex
field_147061_u,creativeInventoryTabs
field_147062_A,searchField
field_147065_z,wasClicking
field_147066_y,isScrolling
field_147067_x,currentScroll
field_147070_D,ENCHANTMENT_TABLE_BOOK_TEXTURE
field_147072_E,MODEL_BOOK
field_147074_F,random
field_147075_G,container
field_147078_C,ENCHANTMENT_TABLE_GUI_TEXTURE
field_147083_w,hopperInventory
field_147084_v,playerInventory
field_147085_u,HOPPER_GUI_TEXTURE
field_147086_v,tileFurnace
field_147087_u,furnaceGuiTextures
field_147088_v,dispenserGuiTextures
field_147091_w,nameField
field_147092_v,anvil
field_147093_u,anvilResource
field_147094_x,playerInventory
field_147101_bU,respawnInvulnerabilityTicks
field_147102_bM,logger
field_147103_bO,statsFile
field_147123_G,logger
field_147124_at,framebufferMc
field_147125_j,pointedEntity
field_147126_aw,mcMusicTicker
field_147127_av,mcSoundHandler
field_147128_au,textureMapBlocks
field_147129_ai,jvm64bit
field_147141_M,resourcePackUrl
field_147142_T,nanoTimeSinceStatusRefresh
field_147143_S,sessionService
field_147144_o,networkSystem
field_147145_h,logger
field_147146_q,random
field_147147_p,statusResponse
field_147148_h,logger
field_147150_a,logger
field_147166_l,categoryName
field_147167_m,categoryId
field_147168_j,NAME_CATEGORY_MAP
field_147169_k,ID_CATEGORY_MAP
field_147175_a,logger
field_147206_b,profileStartTime
field_147207_c,profileStartTick
field_147208_a,logger
field_147228_b,logger
field_147229_c,pingDestinations
field_147230_a,PING_RESPONSE_SPLITTER
field_147299_f,gameController
field_147300_g,clientWorldController
field_147301_d,logger
field_147302_e,netManager
field_147304_c,currentServerMaxPlayers
field_147306_l,avRandomizer
field_147307_j,guiScreenServer
field_147309_h,doneLoadingTerrain
field_147310_i,playerInfoMap
field_147313_b,networkManager
field_147314_a,server
field_147327_f,server
field_147328_g,currentLoginState
field_147329_d,RANDOM
field_147330_e,verifyToken
field_147331_b,AUTHENTICATOR_THREAD_ID
field_147332_c,logger
field_147333_a,networkManager
field_147334_j,serverId
field_147335_k,secretKey
field_147336_h,connectionTimer
field_147337_i,loginGameProfile
field_147365_f,floatingTickCount
field_147367_d,serverController
field_147368_e,networkTickCount
field_147369_b,playerEntity
field_147370_c,logger
field_147371_a,netManager
field_147373_o,lastPosX
field_147374_l,chatSpamThresholdCount
field_147375_m,itemDropThreshold
field_147377_k,lastSentPingPacket
field_147379_i,lastPingTime
field_147380_r,hasMoved
field_147381_q,lastPosZ
field_147382_p,lastPosY
field_147384_b,networkManager
field_147385_a,mcServer
field_147386_b,networkManager
field_147387_a,server
field_147393_d,networkManager
field_147394_b,mc
field_147395_c,previousGuiScreen
field_147396_a,logger
field_147411_m,serverIcon
field_147412_i,playerList
field_147415_a,logger
field_147417_b,logger
field_147425_f,upperLimitNoiseArray
field_147426_g,depthNoiseArray
field_147427_d,mainNoiseArray
field_147428_e,lowerLimitNoiseArray
field_147433_r,parabolicField
field_147436_a,logger
field_147481_N,processingLoadedTiles
field_147482_g,loadedTileEntityList
field_147483_b,tileEntitiesToBeRemoved
field_147484_a,addedTileEntityList
field_147489_T,blockEventCacheIndex
field_147490_S,blockEventQueue
field_147491_a,logger
field_147501_a,rendererDispatcher
field_147503_f,textureChristmas
field_147504_g,textureNormal
field_147505_d,textureNormalDouble
field_147506_e,textureTrapped
field_147507_b,textureTrappedDouble
field_147508_c,textureChristmasDouble
field_147509_j,isChristmas
field_147510_h,simpleChest
field_147511_i,largeChest
field_147513_b,SIGN_TEXTURE
field_147514_c,model
field_147520_b,ENDER_CHEST_TEXTURE
field_147523_b,beaconBeam
field_147526_d,END_PORTAL_TEXTURE
field_147529_c,END_SKY_TEXTURE
field_147532_f,CREEPER_TEXTURES
field_147534_d,WITHER_SKELETON_TEXTURES
field_147535_e,ZOMBIE_TEXTURES
field_147536_b,instance
field_147537_c,SKELETON_TEXTURES
field_147540_b,TEXTURE_BOOK
field_147550_f,worldObj
field_147551_g,entity
field_147552_d,staticPlayerZ
field_147553_e,renderEngine
field_147554_b,staticPlayerX
field_147555_c,staticPlayerY
field_147556_a,instance
field_147557_n,fontRenderer
field_147558_l,entityZ
field_147559_m,mapSpecialRenderers
field_147560_j,entityX
field_147561_k,entityY
field_147562_h,entityYaw
field_147563_i,entityPitch
field_147593_P,mapSoundPositions
field_147595_R,displayListEntitiesDirty
field_147596_f,prevRenderSortX
field_147597_g,prevRenderSortY
field_147599_m,logger
field_147602_h,prevRenderSortZ
field_147616_f,framebufferObject
field_147617_g,framebufferTexture
field_147618_d,framebufferHeight
field_147619_e,useDepth
field_147620_b,framebufferTextureHeight
field_147621_c,framebufferWidth
field_147622_a,framebufferTextureWidth
field_147623_j,framebufferFilter
field_147624_h,depthBuffer
